,n,f1-score,accuracy,classifier,time
0,0.0,0.6326530612244898,0.55,LogisticRegression,2.8963537030213047
1,0.0,0.578021978021978,0.46428571428571425,RandomForestClassifier,3.1314223119989038
2,0.0,0.6550836550836551,0.5571428571428572,MLPClassifier,3.350770802004263
3,1.0,0.6843629343629344,0.5476190476190476,LogisticRegression,2.9345982579980046
4,1.0,0.8357142857142857,0.5714285714285714,RandomForestClassifier,3.3936477310198825
5,1.0,0.6843629343629344,0.5476190476190476,MLPClassifier,3.6464927600172814
6,2.0,0.6824729891956783,0.6529411764705882,LogisticRegression,2.9703455719863996
7,2.0,0.5684779936070814,0.5,RandomForestClassifier,3.1884451909863856
8,2.0,0.660824889396318,0.6196078431372549,MLPClassifier,4.457391985983122
9,3.0,0.7030566349478321,0.6442307692307692,LogisticRegression,3.1104554920166265
10,3.0,0.6122448979591836,0.4861111111111111,RandomForestClassifier,3.3233079470228404
11,3.0,0.7551020408163265,0.6858974358974359,MLPClassifier,4.100800813990645
12,4.0,0.5089235694277712,0.3672248803827751,LogisticRegression,3.168097140005557
13,4.0,0.6569027611044416,0.47368421052631576,RandomForestClassifier,3.3471340340038296
14,4.0,0.5120980210265925,0.39952153110047844,MLPClassifier,5.818211748992326
15,5.0,0.3333231343511917,0.4575,LogisticRegression,3.372585784003604
16,5.0,0.32205759015935137,0.5,RandomForestClassifier,4.004628787981346
17,5.0,0.3333231343511917,0.4575,MLPClassifier,4.290235186985228
18,6.0,0.5676227606052167,0.5470588235294118,LogisticRegression,3.2732846869912464
19,6.0,0.4442075337597725,0.5,RandomForestClassifier,3.346441838017199
20,6.0,0.6567901234567901,0.6352941176470588,MLPClassifier,3.772505289001856
21,7.0,0.5723065345541203,0.48673740053050396,LogisticRegression,3.82178142000339
22,7.0,0.5640509725016768,0.5,RandomForestClassifier,5.718440853001084
23,7.0,0.5723065345541203,0.48673740053050396,MLPClassifier,3.968821543996455
