,n,f1-score,accuracy,classifier,time
0,0.0,0.6329669292824456,0.6440062272963155,LogisticRegression,3.4759609309840016
1,0.0,0.6287522001807716,0.6471198754540737,RandomForestClassifier,4.215711669006851
2,0.0,0.6367394879022785,0.6377789309807992,MLPClassifier,6.580363175016828
3,1.0,0.6840005319856364,0.6931818181818181,LogisticRegression,4.6620253899891395
4,1.0,0.5997400909681612,0.6022727272727273,RandomForestClassifier,5.037850588996662
5,1.0,0.588998443175921,0.5909090909090908,MLPClassifier,6.595698711025761
6,2.0,0.6857954545454545,0.6971677559912854,LogisticRegression,4.312603361991933
7,2.0,0.680009396288466,0.724400871459695,RandomForestClassifier,4.823998842010042
8,2.0,0.7303078479549068,0.7287581699346406,MLPClassifier,7.210994387016399
9,3.0,0.5953575575511596,0.6053191489361702,LogisticRegression,5.312626907980302
10,3.0,0.5988061286220476,0.623404255319149,RandomForestClassifier,6.621070332010277
11,3.0,0.5808143800440205,0.5965425531914894,MLPClassifier,8.436989642010303
12,4.0,0.6442040417699647,0.6537530266343825,LogisticRegression,4.561941179999849
13,4.0,0.7616090259954769,0.737590799031477,RandomForestClassifier,4.56581531901611
14,4.0,0.6219717064544651,0.6180387409200969,MLPClassifier,7.521680667006876
15,5.0,0.7035910149500413,0.696725860155383,LogisticRegression,4.217550292989472
16,5.0,0.8150083207554472,0.8016093229744728,RandomForestClassifier,6.616361813998083
17,5.0,0.69169216841053,0.6820199778024417,MLPClassifier,6.5068264639994595
18,6.0,0.6888841293638894,0.675,LogisticRegression,3.818372388021089
19,6.0,0.7315276730018901,0.7134615384615384,RandomForestClassifier,4.201266804011539
20,6.0,0.6197472692225316,0.6032967032967033,MLPClassifier,6.14272869299748
21,7.0,0.6584384465843844,0.6649048625792813,LogisticRegression,4.131320485001197
22,7.0,0.6948493320907114,0.6995243128964059,RandomForestClassifier,4.5589615009957924
23,7.0,0.6666666666666666,0.6667547568710359,MLPClassifier,6.564716049993876
