,n,f1-score,accuracy,classifier,time
0,0.0,0.6337837837837837,0.6553030303030303,LogisticRegression,0.9660305730067194
1,0.0,0.6380952380952382,0.6363636363636364,RandomForestClassifier,1.2433151150180493
2,0.0,0.6478119349005425,0.6666666666666666,MLPClassifier,1.4555159689916763
3,1.0,0.6344511028943007,0.6211805555555556,LogisticRegression,1.0853876640030649
4,1.0,0.7418586885071152,0.7416666666666667,RandomForestClassifier,1.2855985490023158
5,1.0,0.6819301388266906,0.665625,MLPClassifier,1.886683364980854
6,2.0,0.5540166204986149,0.5176282051282051,LogisticRegression,1.0450487229973078
7,2.0,0.5922999888728163,0.6137820512820513,RandomForestClassifier,1.2799924169958103
8,2.0,0.5521629753859814,0.5064102564102564,MLPClassifier,1.5582582479983103
9,3.0,0.6203095975232199,0.5818452380952381,LogisticRegression,0.9916819520003628
10,3.0,0.6722068328716528,0.6502976190476191,RandomForestClassifier,1.3172245399910025
11,3.0,0.6259478483442651,0.5848214285714286,MLPClassifier,1.569936918996973
12,4.0,0.5526315789473685,0.5667613636363636,LogisticRegression,0.922062753001228
13,4.0,0.6049030730528289,0.5894886363636364,RandomForestClassifier,1.2867330559820402
14,4.0,0.5384370015948964,0.5553977272727273,MLPClassifier,1.3992069900268689
15,5.0,0.6445522898154478,0.6455301455301455,LogisticRegression,0.8974936089944094
16,5.0,0.5160166040100251,0.5599445599445599,RandomForestClassifier,1.34702366500278
17,5.0,0.5488905189803779,0.5550935550935552,MLPClassifier,1.3988466459850315
18,6.0,0.6842105263157895,0.6962649753347427,LogisticRegression,1.0858436540002003
19,6.0,0.5535936615732882,0.6138125440451022,RandomForestClassifier,1.3777592480182648
20,6.0,0.6842105263157895,0.6962649753347427,MLPClassifier,2.053166345023783
21,7.0,0.6722222222222222,0.6934523809523809,LogisticRegression,0.9854379420285113
22,7.0,0.6127946127946128,0.6011904761904763,RandomForestClassifier,1.2947201969800517
23,7.0,0.6126262626262626,0.6279761904761905,MLPClassifier,1.4465504409745336
