,meanHR,minHR,maxHR,sdHR,modeHR,nNN,meanNN,SDSD,CVNN,SDNN,pNN50,pNN20,RMSSD,medianNN,q20NN,q80NN,minNN,maxNN,triHRV,max_ecg,min_ecg,mean_ecg,sd_ecg,ku_ecg,sk_ecg,median_ecg,q1_ecg,q3_ecg,q05_ecg,q95_ecg,totalpower,LF,HF,ULF,VLF,VHF,LF/HF,rLF,rHF,peakLF,peakHF,SD1,SD2,SD1SD2,apEn,sampEn,meanRR,minRR,maxRR,sdRR,modeRR,nBB,meanBB,SDSDb,CVNNb,SDNNb,RMSSDb,medianBB,q20BB,q80BB,minBB,maxBB,meanTT,SDTT,medianTT,q20TT,q80TT,minTT,maxTT,meanBA,SDBA,medianBA,q20BA,q80BA,minBA,maxBA,meanBW,SDBW,medianBW,q20BW,q80BW,minBW,maxBW,max_rsp,min_rsp,mean_rsp,sd_rsp,ku_rsp,sk_rsp,median_rsp,q1_rsp,q3_rsp,q05_rsp,q95_rsp,totalpower_rsp,LF_rsp,HF_rsp,VLF_rsp,VHF_rsp,LF/HF_rsp,rLF_rsp,rHF_rsp,peakLF_rsp,peakHF_rsp,SD1_rrv,SD2_rrv,SD1SD2_rrv,apEn_rrv,max_eda,min_eda,mean_eda,sd_eda,ku_eda,sk_eda,median_eda,dynrange,scl_slope,max_scr,min_scr,mean_scr,sd_scr,max_scl,min_scl,mean_scl,sd_scl,nSCR,aucSCR,meanAmpSCR,maxAmpSCR,meanRespSCR,sumAmpSCR,sumRespSCR
2ea4_Baseline,63.43094010243964,57.034220532319395,79.57559681697613,4.686313858549307,22.541376284656735,62.0,950.6774193548387,42.03340067580802,64.84317911092297,0.06820734119774056,16.129032258064516,56.451612903225815,42.036674074111936,956.0,904.8,999.6000000000001,754.0,1052.0,2.6956521739130435,5.967484357884467,-1.729123448296835,-3.178453948232351e-05,0.685371860351204,28.42695718870665,4.448356444813569,-0.012330790395577787,-0.13076650145274366,0.07672180059146143,-0.8932437389258862,0.2745891604654357,369.94146909331295,115.9313702475074,245.57880740143844,0.0,0.0,8.431291444367124,0.4720740013123313,32.0686324798539,67.9313675201461,0.10619469026548672,0.17699115044247787,14.86105132709753,43.3713179118951,0.34264698521005077,0.011538896932473008,0.013869847864150502,12.375599144060121,8.39630562552477,19.342359767891683,3.391862317647311,10.946054142366913,10.0,5192.6,2310.027502374895,1285.8155544245062,0.24762461087403345,2331.0319126467957,5458.0,3929.2,6227.2,3102.0,7146.0,2605.4,471.9710160592491,2604.5,2231.8,3063.2,1781.0,3223.0,2.0076845374783434,0.5253353612690032,2.0640885593514624,1.4377152420943633,2.2682055360477795,1.156776904948287,2.8681199619761584,14607.5,8163.392469656005,14295.5,6591.4,22540.8,1073.0,28136.0,1.9670326714176982,-1.7422367553723443,-1.8947806286936004e-17,0.7203900978256182,-0.10035478492775596,0.4693671197859138,-0.050845753527889975,-0.5334604646775016,0.4185414821167569,-1.0054302252378369,1.3332353445047853,137199.6147648982,69459.1163412222,67738.09486991029,0.0,2.403553765730892,1.0254069954966565,50.62720716263811,49.3727928373619,0.13138686131386862,0.17518248175182483,816.7180558283558,333.26549309655337,2.4506529261093855,0.10536051565782678,1.8570381593474794,-1.5506393678668,0.0001073381197510874,0.9947376021404511,-1.2208272124432344,0.367673531378987,-0.32380694492312584,-1.19759513258211,-0.023885876528914215,0.8022754908029355,-0.6734062295557574,-0.010098759628731316,0.3015667151919695,1.4326109104625262,-1.1327427767080338,0.022667868372909832,0.8915394920897693,10.0,-302.9789335234454,0.6668993871672939,1.475681720358693,1.16,6.6689938716729396,11.6
2ea4_Breathing,61.712465313769954,45.87155963302752,84.26966292134831,11.008515087679642,38.39810328832079,59.666666666666664,1002.8938547486033,106.65948647350156,173.3165312891468,0.17281642565512806,177.6536312849162,249.72067039106145,106.65949179989204,1006.0,815.2,1190.8,712.0,1308.0,1.808080808080808,7.518169272690155,-1.9154641357695643,4.33193472036848e-06,0.7121880386082964,34.697022479738855,4.7608427158664,-0.003696039600721656,-0.12726722488496012,0.06659528459074719,-0.8385796387375684,0.3742056398011915,8181.896350770018,284.92046660931294,7787.661895988465,0.0,84.05505011661774,25.258938055622192,0.036586137201986065,3.529483550758407,96.4705164492416,0.140625,0.171875,37.7098230816439,116.71748441605945,0.3230863248150618,0.0018293692568209785,0.006495446516029555,11.569522362834988,6.207324643078833,19.14486279514997,3.719330534062082,12.937538152071136,10.0,5748.333333333333,3167.2157895086216,1838.5817057963152,0.31984604913823983,3168.855596757834,5364.0,3847.6000000000004,7513.6,3134.0,9666.0,3109.0,1303.7431296647926,2583.0,2347.0,3417.0000000000005,1620.0,6945.0,1.533044964216771,0.4928450449666144,1.4085423909482286,1.197281109101525,1.8394777391488168,0.9657655446202116,3.3630963218323995,47125.542372881355,24821.23101559551,49655.0,20419.800000000003,71396.40000000001,2349.0,88574.0,2.589583116663115,-1.8508102213044184,1.8316212744038138e-17,0.5908520390425573,1.3215950252997493,0.3117247344125811,-0.0018361034012525103,-0.3697578473311636,0.3377944229236325,-0.9746289714592127,0.9794219243460707,757608.0709594134,553957.469609188,203640.6055773636,0.0,9.995772861795102,2.7202701938476515,73.12023192149492,26.87976807850508,0.1171875,0.1640625,1119.7798811213256,647.5744150812139,1.7291910474580612,0.013790643148760218,2.792215834903117,-1.0200815142597264,-3.898045358760606e-07,0.997299991461477,-0.48405261790231346,0.8615507202132855,-0.34935930912741203,-2.7372477550771315,-0.015164300571360307,1.3220875502351956,-0.7294659855937073,0.0013326105770914243,0.276154583585165,1.9427894502485588,-0.9682295504547345,-0.006435154162016008,0.951185460540644,7.333333333333333,120.03833205832572,0.6516990485882671,1.7485239506136143,1.1260952380952378,4.7791263563139585,7.8826666666666645
2ea4_Counting1,70.9733314977625,58.36575875486381,82.87292817679558,5.4490031394614125,24.50716942193177,69.0,850.5507246376811,42.53250334544688,67.60917874223543,0.07948870864937031,20.28985507246377,55.072463768115945,42.5579190114864,844.0,800.0,893.6,724.0,1028.0,3.6315789473684212,6.1446458693011055,-1.6903881901727853,-5.766287994468951e-05,0.709251605357492,25.356524850261323,4.213243701386164,-0.010222925618576805,-0.13184315056872015,0.06830235325288847,-0.9298750586650352,0.2887679886958766,432.1792457488933,110.76399091588789,316.23768882012354,0.0,0.0,5.1775660128819,0.3502555034763444,25.93994266822706,74.06005733177294,0.10714285714285714,0.21428571428571427,15.037510768202502,45.41717908137121,0.33109741891412287,0.002902252069370448,0.028731258040481135,11.70953443647214,7.425742574257426,17.113519680547633,3.161034344475463,9.687777106290206,10.0,5489.8,1618.345138607436,1402.6342217413635,0.2554982370471353,1644.6747736592517,5519.0,4280.400000000001,6484.4,3506.0,8080.0,2469.181818181818,726.8863632810613,2282.0,1832.0,3105.0,1530.0,3880.0,1.7257959055359948,0.4556202707246244,1.7137064057505587,1.4632584633461962,1.9909623078495868,0.9664640026096883,2.729999694360998,13840.04347826087,8639.966533138993,13944.0,4752.8,22054.200000000004,300.0,28721.0,1.9423382419725628,-1.6071315888386786,-2.2737367544323207e-17,0.64510048628914,0.04586913330241371,0.37731259195226907,-0.046795105581424204,-0.44478312825745775,0.41930770268884676,-0.8884868813726996,1.1460966053834911,145612.93307350297,105428.65533331045,40183.352819090534,0.0,0.9249211019696495,2.623689860026384,72.40381934913384,27.59618065086616,0.08219178082191782,0.16438356164383564,572.1714109048005,807.847482855245,0.7082666258766145,0.10536051565782678,0.8120617704814138,-2.569677725757309,-0.00011113965903872062,0.9956074412229222,-0.1730113026508726,-0.997762996288724,0.5378820604447179,-0.3160169706658804,0.00032292210247654793,1.0219612883184805,-1.0696810175183762,-0.003093250012875075,0.34435816432507665,0.9406678740083589,-2.1590931244479674,0.012778485447511775,0.827482431309941,7.0,-92.5895224146044,0.8607152114829939,2.0916423058368565,2.4334285714285713,6.0250064803809575,17.034
2ea4_Counting2,64.30115433546254,56.28517823639775,79.7872340425532,5.497477566416704,23.502055806155447,63.0,939.5873015873016,58.35950158798766,76.11032821485226,0.08100399833658298,31.746031746031743,63.49206349206349,58.36039310929089,952.0,878.0,1011.2,752.0,1066.0,2.625,6.523283427687535,-1.835143527670296,8.526211440833515e-05,0.7393291317377628,28.831207132129673,4.482396281146853,-0.006205576438423536,-0.11591616413198422,0.06439458132998935,-0.9639020862939321,0.260375824518568,1033.2881458475038,195.0605027788489,822.3732046196778,0.0,0.0,15.854438448977128,0.23719219167538216,19.17181447404554,80.82818552595445,0.10619469026548672,0.3185840707964602,20.63319965976658,49.7815780694872,0.4144746000411216,0.007507864770243344,0.018843087801479943,11.188330852949674,8.415147265077138,17.006802721088434,2.3413367261125364,8.591655456011296,10.0,5566.8,1436.957004262398,1004.4223016241725,0.18043082230799964,1437.1428445201805,5512.0,4905.2,6392.4,3528.0,7130.0,2767.6,803.99567163014,2593.5,2161.0,3376.0000000000005,1712.0,4434.0,2.125761489321572,0.4823353926156374,2.0827697767307414,1.830720506455061,2.4663885973834367,1.2945251826572999,2.8899034841202864,14564.40909090909,8759.495194354373,13993.5,6506.8,23885.2,156.0,29031.0,1.9471857382752318,-1.5820051235456936,-8.715990891990563e-17,0.787454511879805,-0.5360881655120289,0.334770602152656,-0.07822316991563244,-0.575204383397581,0.5485848842136973,-1.2604136675676052,1.4047275031285265,58009.55859301889,54353.42732846671,3655.8410571652325,0.0,0.29020738694626846,14.867557554762179,93.69783284825786,6.302167151742137,0.08163265306122448,0.16326530612244897,508.0410209937241,532.339490676141,0.9543553125251807,0.10536051565782678,1.379208208716569,-1.3458121921526152,-7.029753996254537e-05,0.998110400221831,-1.4787910352300269,0.2806788090482485,-0.2241289999708777,-1.024814767438343,-0.04594657974844298,0.8156008941737747,-0.6867054124891458,0.010508995540263131,0.24049219085346535,1.4863486470442804,-1.167275634566003,-0.0117648899507436,0.9374477740270011,6.0,315.59173369614643,0.543248817396217,1.5023063066629205,1.8099999999999998,3.2594929043773018,10.86
2ea4_Counting3,66.25313265072522,55.762081784386616,80.64516129032258,5.44326102490943,24.88307950593596,65.0,911.6615384615385,42.85357290748929,74.01419342533138,0.08118604361683722,26.153846153846157,64.61538461538461,42.9046908857295,910.0,854.0,962.4000000000001,744.0,1076.0,3.25,6.3434732251938275,-1.7367730735586306,0.00014526826775510635,0.735940866338309,27.214568663219172,4.377557423048997,-0.009652900761633328,-0.12650144468918945,0.07066442125000313,-0.9596367545771406,0.2595812521807045,461.59870205184075,283.80235580509907,169.25582802885572,0.0,0.0,8.540518217885984,1.6767656340714885,62.641480924911896,37.358519075088104,0.10619469026548672,0.17699115044247787,15.151026000478893,49.358659034456025,0.3069578124053643,0.003383066884379282,0.02247285585205863,11.741558148679351,6.600660066006601,16.46542261251372,3.3681583143359526,9.86476254650712,10.0,5580.4,2658.243548930778,1694.5082590533455,0.30365354796311117,2669.499828307418,5385.0,3836.0,6757.2,3644.0,9090.0,2555.3636363636365,839.3067781023784,2239.0,1839.0,3316.0,1527.0,4416.0,1.4330904616343536,0.4537066292029454,1.2707381292386501,1.103190034096639,1.7734391028827479,0.9064352013690669,2.397562134437874,15478.782608695652,8870.208085184933,15965.0,7551.6,24765.2,293.0,29331.0,1.7471084145489562,-1.3005166616424964,4.168517383125921e-17,0.5446629337365737,0.7684470900316884,0.6174275648785107,-0.02562079334165325,-0.3728734000675006,0.26198165637341236,-0.77664818126798,1.068905038845019,379937.90142480243,364960.7450881868,14975.73952572964,0.0,1.4168108860283768,24.370131736142454,96.05835708540926,3.941642914590757,0.08450704225352114,0.16901408450704228,939.8310197471736,798.010380822978,1.1777177870517646,0.10536051565782678,2.030439173130548,-1.7588276224037322,0.00010971223014275893,0.9937408209109542,-1.1004687018121164,-0.11966307089876803,0.181287419022646,-1.154427612613687,-0.04802574752717812,1.225112260594843,-0.7821203117652066,0.018616226504194228,0.3360032323512858,0.9783385063113238,-1.4947081847207595,-0.015553487412751747,0.9040993290877274,12.0,558.7088301178882,0.7211234341044462,1.7432922184220825,1.2821666666666667,8.653481209253355,15.386000000000001
2ea4_Math,62.73605673119661,51.63511187607573,82.1917808219178,7.167147790152762,30.55666894584207,61.0,968.0655737704918,59.70068862435527,103.20691755511432,0.10661149446017024,44.26229508196721,75.40983606557377,59.89602101419871,976.0,886.0,1062.0,730.0,1162.0,2.259259259259259,6.674446855247463,-1.721219310802645,0.000912425485574875,0.7454118499038351,29.74027691793283,4.587376789964679,-0.0069088853058923,-0.11047043614667329,0.06087121891096636,-0.9687495178122495,0.23843235850192085,714.6818048641371,337.640211313152,358.371190020525,0.0,0.0,18.670403530460113,0.9421522173526682,48.51072994870135,51.489270051298654,0.1415929203539823,0.17699115044247787,21.107380883894095,69.06996754499502,0.305594191428335,0.012196029400296293,0.013869847864150502,9.80002865239394,5.9904153354632586,14.836795252225519,2.4580282101657196,8.84637991676226,8.0,6523.0,1957.314611858788,1684.2060444019312,0.25819500910653553,2033.0436015280848,6171.0,5547.2,7452.800000000001,4044.0,10016.0,2644.0,682.0192079406562,2796.0,1927.0,3016.4,1549.0,3940.0,1.9731722151980193,0.36424070451586193,1.8964287238280715,1.74647363669729,2.256843412499676,1.4012644599593145,2.6535900494506155,13382.2,8457.919192094472,12754.5,5277.000000000001,22162.0,656.0,28194.0,1.8975216870434408,-1.2736332237691836,3.031649005909761e-17,0.6756419900958768,-0.2208016330038225,0.624122442380361,-0.15920885185995942,-0.4559199732715539,0.4493381554167687,-0.9330947437150056,1.2414380744170903,36218.75186259478,27839.883842502393,8378.214091690139,0.0,0.6539284022436999,3.322890002311489,76.8673271939538,23.132672806046205,0.12949640287769784,0.17266187050359713,692.015217480432,902.5906930517694,0.7666988179776638,0.1335313926245223,2.317205184603221,-1.668630829279203,8.536252650598423e-06,0.9895717636848024,-0.7298839850341152,0.38203627892902375,-0.1892214320234747,-1.388686547044191,-0.038248776843824786,1.2353421827641171,-1.0375253366420645,0.01616354409265556,0.4465766052791527,1.3551258466850438,-1.2494679210904498,-0.0005389260428793932,0.8152671083646964,11.0,485.30623357783986,0.9901167881651388,1.7537006233764152,1.2578,10.891284669816526,12.578000000000001
2ea4_Reading,74.13103972635295,55.248618784530386,88.75739644970415,7.40430283318114,33.50877766517376,73.0,818.1095890410959,40.365450558186915,88.4353430934165,0.1080971843846389,21.91780821917808,54.794520547945204,40.4344462611329,808.0,750.4,856.4,676.0,1086.0,2.92,6.213216059791601,-1.6652464867835524,0.00046347508480886325,0.7261108315908694,24.40372321632152,4.1718288664590695,-0.008339165141470322,-0.1351426599065429,0.06674774825093296,-0.9404074900309066,0.29519590151929775,279.22272755891646,38.07505484684083,222.12813980897988,0.0,0.0,19.019532903095772,0.171410316944011,14.6328160563916,85.3671839436084,0.14035087719298245,0.24561403508771928,14.271341907672138,60.247226480653126,0.23687964975873235,0.00933398268990615,0.013170463189745121,12.251538116560576,7.297494526879105,15.991471215351812,3.0359949547835017,8.693976688472706,10.0,5276.4,1642.633326982495,1556.785611444299,0.2950469281033089,1644.6019444095143,4590.0,4037.2,6762.8,3752.0,8222.0,2497.909090909091,572.0188259053042,2322.0,2088.0,3138.0,1579.0,3459.0,1.9965764287195602,0.5233065050401647,2.02128097552248,1.577923626690282,2.203624104691906,1.155767356961202,3.0051967012249614,14411.565217391304,8476.722258381875,15374.0,5450.6,22246.4,122.0,28661.0,2.121620467158715,-1.7761880230695999,-2.842170943040401e-17,0.738363461586538,-0.0035254916973950223,0.49161236937870706,-0.13530831189691284,-0.5268904574565674,0.49947457935418405,-0.9758800691099379,1.2773040553779986,148275.3374192721,131937.66319016385,16336.791141972553,0.0,0.883087135709868,8.076106381209039,88.98205950879579,11.017940491204211,0.08571428571428572,0.17142857142857143,580.7585822561708,981.1705594169988,0.5919037996831575,0.10536051565782678,1.1906359594921356,-1.7747090297018606,-0.00012634841657657792,0.995090689925841,-1.3419935753831842,-0.22874113606175664,0.14222688066527706,-0.6708907993172011,-0.05136984003146552,0.829435408266243,-0.694141055550183,0.015935621360841208,0.32479142493820784,1.2435164752968062,-1.4804337458449093,-0.026955792115314004,0.92645526602778,9.0,478.33491087209484,0.6402241289920203,1.4745078609151658,0.9897142857142857,5.121793031936162,6.928
2ea4_Relax,59.596396002624054,46.43962848297214,79.36507936507937,6.717816502050242,32.92545088210723,58.4,1019.1369863013699,76.47981711329932,110.79980899401136,0.10871925019238449,128.4246575342466,191.78082191780823,76.48989115089563,1019.0,920.0,1112.0,756.0,1292.0,1.3904761904761904,7.589569712527276,-1.994698931110125,-0.0001261738495753901,0.7437842204610213,34.98350009196266,4.869198153889266,-0.0008446183429761885,-0.09152751209902701,0.054005618136928196,-0.8955193376833435,0.2304551637559668,2311.8386018764004,242.9752767573392,1928.6773744073014,0.0,115.33454164465488,24.851409067105095,0.12598025983065597,11.188496310726,88.81150368927399,0.140625,0.296875,27.039698652360457,73.62988782077156,0.3672380802505087,2.5667550168861908e-05,0.010279420123825534,9.26417175263231,7.621951219512195,12.583892617449665,1.1197408301886953,4.96194139793747,8.8,6562.454545454545,1066.8542352091374,720.2567551841703,0.1097541705158252,1071.5841410867238,6592.0,6102.799999999999,7065.2,4768.0,7872.0,3272.7272727272725,395.2114717945527,3306.0,2929.6,3587.6000000000004,2264.0,3956.0,2.4039581122799656,0.5119383903781496,2.2436275342936236,1.9960089781035548,2.7196255733831114,1.7705947309099528,4.034359204673484,38571.82608695652,21788.098215294503,38584.5,16707.0,60383.0,1009.0,74199.0,2.7984675402995394,-2.8456649637572813,-3.600083194517841e-17,0.9017645563424808,-0.032456159828805564,-0.11968633798367158,-0.006808943795319787,-0.6197300776267318,0.6713751025860715,-1.57097281154801,1.321413110338187,28955.620476154905,27690.061864413718,1265.4803854549002,0.0,0.078226286288049,21.881067603003594,95.629574557663,4.37042544233701,0.09375,0.1640625,377.1899321269845,316.2999236853464,1.1925071866353378,0.0447647554266315,3.1677216303316587,-1.1156789301331511,-9.733904244098994e-05,0.9979331641320507,0.09840001455758518,1.0067545894061727,-0.42597365733400216,-2.839277093772494,-0.019414248996597237,1.229413147325766,-0.4293967233342277,0.00338467753628635,0.2325481856528782,2.488942372002023,-1.0180839709409313,-0.002249566595077916,0.9521305366633209,4.8,253.8759250980524,0.70639049056492,1.6588098706599936,1.4792727272727275,3.108118158485648,6.508800000000001
2ea4_Speaking,64.69195729234085,55.248618784530386,74.25742574257426,4.628711371607187,19.00880695804387,64.0,932.3125,55.01448994863435,67.87969021548345,0.07280787312782297,26.5625,57.8125,55.152889950040425,920.0,871.1999999999999,994.8000000000001,808.0,1086.0,2.2857142857142856,6.607337486106511,-1.6874713472820415,9.69034010948544e-06,0.7405334177248842,27.59424669991975,4.406028654301298,-0.009684570950402694,-0.12569795751097512,0.06849945887745462,-0.9661940797558849,0.25977805731321235,664.295047391513,56.81020770325481,584.9894992378061,0.0,0.0,22.495340450452094,0.09711320934354191,8.851703590520948,91.14829640947904,0.10526315789473684,0.2807017543859649,19.450559453099252,42.83899380558124,0.4540386625645991,0.015227405229857105,0.008163310639160981,11.441663084147974,8.382229673093043,17.441860465116278,2.70067222293796,9.059630792023235,10.0,5503.2,1439.3269346091452,1120.647741263953,0.20363565584822524,1443.047392769128,5940.0,4349.6,6418.4,3440.0,7158.0,3106.8888888888887,829.2007456238869,2828.0,2330.2,4113.0,2141.0,4355.0,2.12511231721245,0.46767538426818556,2.1079681114819238,1.7304923381014798,2.588287587989836,1.4008381731605657,2.8994935349705164,14415.809523809523,8857.889190777889,15073.0,5224.0,22689.0,92.0,29269.0,1.9257939889824052,-1.3475243963130605,9.094947017729283e-17,0.764471890876577,-0.6838742390682233,0.4549482911585698,-0.10127095861915772,-0.6444283211903686,0.5241147438631981,-1.0238278303602537,1.4301942083694916,77398.15241837925,76867.80596294062,530.2715967126476,0.0,0.07485872598514186,144.9593122457868,99.3148775610041,0.6851224389959165,0.08219178082191782,0.16438356164383564,508.8789179032865,517.5525738189954,0.9832410148176708,0.10536051565782678,1.367487949400993,-2.120229365402855,-0.0001728444472179035,0.9937756685976825,-1.348849795093926,0.22391317109277195,-0.3208663267046397,-0.6449717052858397,-0.03524430134485212,1.2289635206691694,-1.1235073464185408,0.02516681775186228,0.36290890873542736,1.4989834381976745,-1.0992002381484334,-0.03172529880173773,0.8838104321722559,10.0,755.5534559151753,0.7781205332024842,2.3524708670877104,1.789111111111111,7.781205332024842,16.102
2ea4_Stroop,60.785852685118535,53.380782918149464,70.4225352112676,4.267721652846693,17.041752293118137,59.0,991.8305084745763,51.054294849622124,67.99629913717087,0.06855636981942446,27.11864406779661,62.71186440677966,51.054399655053544,1002.0,925.6,1047.6,852.0,1124.0,2.8095238095238093,6.77740350334019,-1.859490557698874,9.001498543840099e-05,0.745836506260272,30.125248752802676,4.620777881494105,-0.006188179200328121,-0.11166889635166563,0.06429466328681038,-0.9736410237900116,0.25347642353845196,608.1462441051316,168.70499114909518,431.6003070451909,0.0,0.0,7.840945910845558,0.3908824632310348,28.10319876512144,71.89680123487857,0.14285714285714285,0.2857142857142857,18.050419048432616,44.570651272061255,0.4049844131343751,0.0164806176349388,0.00888894741724604,10.136015947227481,8.125677139761647,13.901760889712698,1.9263898720350299,5.7760837499510505,9.0,6128.444444444444,1841.4380250228353,1112.3511746757267,0.1815062834883157,1842.172087509742,5628.0,5276.8,7316.4,4316.0,7384.0,2447.181818181818,671.8071717636377,2480.0,1695.0,2906.0,1590.0,3614.0,1.9403025090305674,0.39895193421061437,1.9162818375904191,1.671523050506702,2.171096290153052,1.295226886285871,2.6608535550031758,14790.40909090909,8805.562465433122,15157.5,5929.6,23985.0,283.0,28880.0,1.881321450057926,-1.3556926972193573,2.6526928801710407e-17,0.6903880892447468,-0.34294340093880704,0.5179641225618378,-0.12082918705380677,-0.5198135262464516,0.49083538535474897,-0.9699258646019452,1.2434315456912728,103901.4714452013,92823.28428438334,11077.08029822678,0.0,1.1068625911794814,8.379760892339338,89.33874742141111,10.661252578588892,0.1258741258741259,0.16783216783216784,651.046657314205,483.5310227896448,1.3464423721111194,0.11778303565638337,2.198848216650919,-1.9764282542145415,0.00015528530292731376,0.9876002891496742,-0.7223541039602361,0.2731208963728387,-0.14507637676551827,-1.1125363199813039,-0.03033601754993112,1.1014144639219805,-0.9080624520390376,0.007060034615506077,0.4104466536835864,1.4710557576534573,-1.2631474553643327,-0.03403010916124549,0.843126100644601,15.0,212.12624841681128,0.8764828027024397,1.6699311640580283,1.0132307692307692,13.147242040536597,13.171999999999999
