,meanRR,minRR,maxRR,sdRR,modeRR,nBB,meanBB,SDSDb,CVNNb,SDNNb,RMSSDb,medianBB,q20BB,q80BB,minBB,maxBB,meanTT,SDTT,medianTT,q20TT,q80TT,minTT,maxTT,meanBA,SDBA,medianBA,q20BA,q80BA,minBA,maxBA,meanBW,SDBW,medianBW,q20BW,q80BW,minBW,maxBW,max_rsp,min_rsp,mean_rsp,sd_rsp,ku_rsp,sk_rsp,median_rsp,q1_rsp,q3_rsp,q05_rsp,q95_rsp,totalpower_rsp,LF_rsp,HF_rsp,VLF_rsp,VHF_rsp,LF/HF_rsp,rLF_rsp,rHF_rsp,peakLF_rsp,peakHF_rsp,SD1_rrv,SD2_rrv,SD1SD2_rrv,apEn_rrv
2ea4_Baseline,12.375599144060121,8.39630562552477,19.342359767891683,3.391862317647311,10.946054142366913,10.0,5192.6,2310.027502374895,1285.8155544245062,0.24762461087403345,2331.0319126467957,5458.0,3929.2,6227.2,3102.0,7146.0,2605.4,471.9710160592491,2604.5,2231.8,3063.2,1781.0,3223.0,2.0076845374783434,0.5253353612690032,2.0640885593514624,1.4377152420943633,2.2682055360477795,1.156776904948287,2.8681199619761584,14607.5,8163.392469656005,14295.5,6591.4,22540.8,1073.0,28136.0,1.9670326714176982,-1.7422367553723443,-1.8947806286936004e-17,0.7203900978256182,-0.10035478492775596,0.4693671197859138,-0.050845753527889975,-0.5334604646775016,0.4185414821167569,-1.0054302252378369,1.3332353445047853,137199.6147648982,69459.1163412222,67738.09486991029,0.0,2.403553765730892,1.0254069954966565,50.62720716263811,49.3727928373619,0.13138686131386862,0.17518248175182483,816.7180558283558,333.26549309655337,2.4506529261093855,0.10536051565782678
2ea4_Breathing,11.569522362834988,6.207324643078833,19.14486279514997,3.719330534062082,12.937538152071136,10.0,5748.333333333333,3167.2157895086216,1838.5817057963152,0.31984604913823983,3168.855596757834,5364.0,3847.6000000000004,7513.6,3134.0,9666.0,3109.0,1303.7431296647926,2583.0,2347.0,3417.0000000000005,1620.0,6945.0,1.533044964216771,0.4928450449666144,1.4085423909482286,1.197281109101525,1.8394777391488168,0.9657655446202116,3.3630963218323995,47125.542372881355,24821.23101559551,49655.0,20419.800000000003,71396.40000000001,2349.0,88574.0,2.589583116663115,-1.8508102213044184,1.8316212744038138e-17,0.5908520390425573,1.3215950252997493,0.3117247344125811,-0.0018361034012525103,-0.3697578473311636,0.3377944229236325,-0.9746289714592127,0.9794219243460707,757608.0709594134,553957.469609188,203640.6055773636,0.0,9.995772861795102,2.7202701938476515,73.12023192149492,26.87976807850508,0.1171875,0.1640625,1119.7798811213256,647.5744150812139,1.7291910474580612,0.013790643148760218
2ea4_Counting1,11.70953443647214,7.425742574257426,17.113519680547633,3.161034344475463,9.687777106290206,10.0,5489.8,1618.345138607436,1402.6342217413635,0.2554982370471353,1644.6747736592517,5519.0,4280.400000000001,6484.4,3506.0,8080.0,2469.181818181818,726.8863632810613,2282.0,1832.0,3105.0,1530.0,3880.0,1.7257959055359948,0.4556202707246244,1.7137064057505587,1.4632584633461962,1.9909623078495868,0.9664640026096883,2.729999694360998,13840.04347826087,8639.966533138993,13944.0,4752.8,22054.200000000004,300.0,28721.0,1.9423382419725628,-1.6071315888386786,-2.2737367544323207e-17,0.64510048628914,0.04586913330241371,0.37731259195226907,-0.046795105581424204,-0.44478312825745775,0.41930770268884676,-0.8884868813726996,1.1460966053834911,145612.93307350297,105428.65533331045,40183.352819090534,0.0,0.9249211019696495,2.623689860026384,72.40381934913384,27.59618065086616,0.08219178082191782,0.16438356164383564,572.1714109048005,807.847482855245,0.7082666258766145,0.10536051565782678
2ea4_Counting2,11.188330852949674,8.415147265077138,17.006802721088434,2.3413367261125364,8.591655456011296,10.0,5566.8,1436.957004262398,1004.4223016241725,0.18043082230799964,1437.1428445201805,5512.0,4905.2,6392.4,3528.0,7130.0,2767.6,803.99567163014,2593.5,2161.0,3376.0000000000005,1712.0,4434.0,2.125761489321572,0.4823353926156374,2.0827697767307414,1.830720506455061,2.4663885973834367,1.2945251826572999,2.8899034841202864,14564.40909090909,8759.495194354373,13993.5,6506.8,23885.2,156.0,29031.0,1.9471857382752318,-1.5820051235456936,-8.715990891990563e-17,0.787454511879805,-0.5360881655120289,0.334770602152656,-0.07822316991563244,-0.575204383397581,0.5485848842136973,-1.2604136675676052,1.4047275031285265,58009.55859301889,54353.42732846671,3655.8410571652325,0.0,0.29020738694626846,14.867557554762179,93.69783284825786,6.302167151742137,0.08163265306122448,0.16326530612244897,508.0410209937241,532.339490676141,0.9543553125251807,0.10536051565782678
2ea4_Counting3,11.741558148679351,6.600660066006601,16.46542261251372,3.3681583143359526,9.86476254650712,10.0,5580.4,2658.243548930778,1694.5082590533455,0.30365354796311117,2669.499828307418,5385.0,3836.0,6757.2,3644.0,9090.0,2555.3636363636365,839.3067781023784,2239.0,1839.0,3316.0,1527.0,4416.0,1.4330904616343536,0.4537066292029454,1.2707381292386501,1.103190034096639,1.7734391028827479,0.9064352013690669,2.397562134437874,15478.782608695652,8870.208085184933,15965.0,7551.6,24765.2,293.0,29331.0,1.7471084145489562,-1.3005166616424964,4.168517383125921e-17,0.5446629337365737,0.7684470900316884,0.6174275648785107,-0.02562079334165325,-0.3728734000675006,0.26198165637341236,-0.77664818126798,1.068905038845019,379937.90142480243,364960.7450881868,14975.73952572964,0.0,1.4168108860283768,24.370131736142454,96.05835708540926,3.941642914590757,0.08450704225352114,0.16901408450704228,939.8310197471736,798.010380822978,1.1777177870517646,0.10536051565782678
2ea4_Math,9.80002865239394,5.9904153354632586,14.836795252225519,2.4580282101657196,8.84637991676226,8.0,6523.0,1957.314611858788,1684.2060444019312,0.25819500910653553,2033.0436015280848,6171.0,5547.2,7452.800000000001,4044.0,10016.0,2644.0,682.0192079406562,2796.0,1927.0,3016.4,1549.0,3940.0,1.9731722151980193,0.36424070451586193,1.8964287238280715,1.74647363669729,2.256843412499676,1.4012644599593145,2.6535900494506155,13382.2,8457.919192094472,12754.5,5277.000000000001,22162.0,656.0,28194.0,1.8975216870434408,-1.2736332237691836,3.031649005909761e-17,0.6756419900958768,-0.2208016330038225,0.624122442380361,-0.15920885185995942,-0.4559199732715539,0.4493381554167687,-0.9330947437150056,1.2414380744170903,36218.75186259478,27839.883842502393,8378.214091690139,0.0,0.6539284022436999,3.322890002311489,76.8673271939538,23.132672806046205,0.12949640287769784,0.17266187050359713,692.015217480432,902.5906930517694,0.7666988179776638,0.1335313926245223
2ea4_Reading,12.251538116560576,7.297494526879105,15.991471215351812,3.0359949547835017,8.693976688472706,10.0,5276.4,1642.633326982495,1556.785611444299,0.2950469281033089,1644.6019444095143,4590.0,4037.2,6762.8,3752.0,8222.0,2497.909090909091,572.0188259053042,2322.0,2088.0,3138.0,1579.0,3459.0,1.9965764287195602,0.5233065050401647,2.02128097552248,1.577923626690282,2.203624104691906,1.155767356961202,3.0051967012249614,14411.565217391304,8476.722258381875,15374.0,5450.6,22246.4,122.0,28661.0,2.121620467158715,-1.7761880230695999,-2.842170943040401e-17,0.738363461586538,-0.0035254916973950223,0.49161236937870706,-0.13530831189691284,-0.5268904574565674,0.49947457935418405,-0.9758800691099379,1.2773040553779986,148275.3374192721,131937.66319016385,16336.791141972553,0.0,0.883087135709868,8.076106381209039,88.98205950879579,11.017940491204211,0.08571428571428572,0.17142857142857143,580.7585822561708,981.1705594169988,0.5919037996831575,0.10536051565782678
2ea4_Relax,9.26417175263231,7.621951219512195,12.583892617449665,1.1197408301886953,4.96194139793747,8.8,6562.454545454545,1066.8542352091374,720.2567551841703,0.1097541705158252,1071.5841410867238,6592.0,6102.799999999999,7065.2,4768.0,7872.0,3272.7272727272725,395.2114717945527,3306.0,2929.6,3587.6000000000004,2264.0,3956.0,2.4039581122799656,0.5119383903781496,2.2436275342936236,1.9960089781035548,2.7196255733831114,1.7705947309099528,4.034359204673484,38571.82608695652,21788.098215294503,38584.5,16707.0,60383.0,1009.0,74199.0,2.7984675402995394,-2.8456649637572813,-3.600083194517841e-17,0.9017645563424808,-0.032456159828805564,-0.11968633798367158,-0.006808943795319787,-0.6197300776267318,0.6713751025860715,-1.57097281154801,1.321413110338187,28955.620476154905,27690.061864413718,1265.4803854549002,0.0,0.078226286288049,21.881067603003594,95.629574557663,4.37042544233701,0.09375,0.1640625,377.1899321269845,316.2999236853464,1.1925071866353378,0.0447647554266315
2ea4_Speaking,11.441663084147974,8.382229673093043,17.441860465116278,2.70067222293796,9.059630792023235,10.0,5503.2,1439.3269346091452,1120.647741263953,0.20363565584822524,1443.047392769128,5940.0,4349.6,6418.4,3440.0,7158.0,3106.8888888888887,829.2007456238869,2828.0,2330.2,4113.0,2141.0,4355.0,2.12511231721245,0.46767538426818556,2.1079681114819238,1.7304923381014798,2.588287587989836,1.4008381731605657,2.8994935349705164,14415.809523809523,8857.889190777889,15073.0,5224.0,22689.0,92.0,29269.0,1.9257939889824052,-1.3475243963130605,9.094947017729283e-17,0.764471890876577,-0.6838742390682233,0.4549482911585698,-0.10127095861915772,-0.6444283211903686,0.5241147438631981,-1.0238278303602537,1.4301942083694916,77398.15241837925,76867.80596294062,530.2715967126476,0.0,0.07485872598514186,144.9593122457868,99.3148775610041,0.6851224389959165,0.08219178082191782,0.16438356164383564,508.8789179032865,517.5525738189954,0.9832410148176708,0.10536051565782678
2ea4_Stroop,10.136015947227481,8.125677139761647,13.901760889712698,1.9263898720350299,5.7760837499510505,9.0,6128.444444444444,1841.4380250228353,1112.3511746757267,0.1815062834883157,1842.172087509742,5628.0,5276.8,7316.4,4316.0,7384.0,2447.181818181818,671.8071717636377,2480.0,1695.0,2906.0,1590.0,3614.0,1.9403025090305674,0.39895193421061437,1.9162818375904191,1.671523050506702,2.171096290153052,1.295226886285871,2.6608535550031758,14790.40909090909,8805.562465433122,15157.5,5929.6,23985.0,283.0,28880.0,1.881321450057926,-1.3556926972193573,2.6526928801710407e-17,0.6903880892447468,-0.34294340093880704,0.5179641225618378,-0.12082918705380677,-0.5198135262464516,0.49083538535474897,-0.9699258646019452,1.2434315456912728,103901.4714452013,92823.28428438334,11077.08029822678,0.0,1.1068625911794814,8.379760892339338,89.33874742141111,10.661252578588892,0.1258741258741259,0.16783216783216784,651.046657314205,483.5310227896448,1.3464423721111194,0.11778303565638337
